Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Event
1994-07-01 00:00:00-04:00,0.585134078,0.597545683,0.585134078,0.597545683,29958400,0,0,Regular Trading
1994-07-05 00:00:00-04:00,0.617050165,0.620596647,0.611730659,0.620596647,10691200,0,0,Regular Trading
1994-07-06 00:00:00-04:00,0.620596661,0.641874254,0.620596661,0.641874254,7408000,0,0,Regular Trading
1994-07-07 00:00:00-04:00,0.640100894,0.650739908,0.638327869,0.650739908,9747200,0,0,Regular Trading
1994-07-08 00:00:00-04:00,0.648966834,0.656059365,0.643647327,0.654285908,4467200,0,0,Regular Trading
1994-07-11 00:00:00-04:00,0.650739885,0.673790505,0.650739885,0.670244455,5910400,0,0,Regular Trading
1994-07-12 00:00:00-04:00,0.673790318,0.702160437,0.673790318,0.693294883,16467200,0,0,Regular Trading
1994-07-13 00:00:00-04:00,0.693295031,0.700387562,0.687975524,0.698614538,10678400,0,0,Regular Trading
1994-07-14 00:00:00-04:00,0.684429448,0.693295003,0.679109941,0.68265599,11481600,0,0,Regular Trading
1994-07-15 00:00:00-04:00,0.664924716,0.672017246,0.664924716,0.666697741,7609600,0,0,Regular Trading
1994-07-18 00:00:00-04:00,0.670244171,0.684429228,0.668470714,0.684429228,3657600,0,0,Regular Trading
1994-07-19 00:00:00-04:00,0.679110012,0.680883036,0.670244455,0.670244455,3107200,0,0,Regular Trading
1994-07-20 00:00:00-04:00,0.670244222,0.670244222,0.661378235,0.666697741,3747200,0,0,Regular Trading
1994-07-21 00:00:00-04:00,0.672017133,0.677336637,0.672017133,0.673790157,2243200,0,0,Regular Trading
1994-07-22 00:00:00-04:00,0.673790602,0.67911011,0.672017577,0.67911011,1459200,0,0,Regular Trading
1994-07-25 00:00:00-04:00,0.680883135,0.680883135,0.675563627,0.67911011,1536000,0,0,Regular Trading
1994-07-26 00:00:00-04:00,0.687975526,0.693295032,0.684429477,0.687975526,1043200,0,0,Regular Trading
1994-07-27 00:00:00-04:00,0.698614339,0.698614339,0.69152181,0.696840882,1756800,0,0,Regular Trading
1994-07-28 00:00:00-04:00,0.68797567,0.691522153,0.686202645,0.686202645,1113600,0,0,Regular Trading
1994-07-29 00:00:00-04:00,0.687975329,0.698614339,0.687975329,0.696840882,5459200,0,0,Regular Trading
1994-08-01 00:00:00-04:00,0.700387567,0.709253122,0.700387567,0.705707073,2585600,0,0,Regular Trading
1994-08-02 00:00:00-04:00,0.707480093,0.707480093,0.698614538,0.698614538,1216000,0,0,Regular Trading
1994-08-03 00:00:00-04:00,0.700387548,0.703933597,0.700387548,0.703933597,966400,0,0,Regular Trading
1994-08-04 00:00:00-04:00,0.705706954,0.705706954,0.695067942,0.695067942,729600,0,0,Regular Trading
1994-08-05 00:00:00-04:00,0.696840966,0.696840966,0.693294918,0.695067942,1132800,0,0,Regular Trading
1994-08-08 00:00:00-04:00,0.691522062,0.691522062,0.68797558,0.691522062,3744000,0,0,Regular Trading
1994-08-09 00:00:00-04:00,0.684429228,0.687975276,0.684429228,0.684429228,1046400,0,0,Regular Trading
1994-08-10 00:00:00-04:00,0.677337085,0.680883135,0.675563627,0.67911011,5481600,0,0,Regular Trading
1994-08-11 00:00:00-04:00,0.675563459,0.686202472,0.670244386,0.68265599,4217600,0,0,Regular Trading
1994-08-12 00:00:00-04:00,0.67379049,0.677336972,0.672017465,0.675563514,3827200,0,0,Regular Trading
1994-08-15 00:00:00-04:00,0.677336917,0.686202472,0.675563459,0.68265599,1936000,0,0,Regular Trading
1994-08-16 00:00:00-04:00,0.680883135,0.680883135,0.673790602,0.67911011,2086400,0,0,Regular Trading
1994-08-17 00:00:00-04:00,0.679109776,0.696840882,0.677336752,0.696840882,7676800,0,0,Regular Trading
